address,name,account_type,type
0x708396f17127c42383e3b9014072679b2f60b82f,Binance 11,eoa,Exchange
0xe0f0cfde7ee664943906f17f7f14342e76a5cec7,Binance 12,eoa,Exchange
0x8f22f2063d253846b53609231ed80fa571bc0c8f,Binance 13,eoa,Exchange
0x28c6c06298d514db089934071355e5743bf21d60,Binance 14,eoa,Exchange
0x21a31ee1afc51d94c2efccaa2092ad1028285549,Binance 15,eoa,Exchange
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,Binance 16,eoa,Exchange
0x56eddb7aa87536c09ccc2793473599fd21a8b17f,Binance 17,eoa,Exchange
0x9696f59e4d72e237be84ffd425dcad154bf96976,Binance 18,eoa,Exchange
0x4d9ff50ef4da947364bb9650892b2554e7be5e2b,Binance 19,eoa,Exchange
0xd551234ae421e3bcba99a0da6d736074f22192ff,Binance 2,eoa,Exchange
0x4976a4a02f38326660d17bf34b431dc6e2eb2327,Binance 20,eoa,Exchange
0xd88b55467f58af508dbfdc597e8ebd2ad2de49b3,Binance 21,eoa,Exchange
0x7dfe9a368b6cf0c0309b763bb8d16da326e8f46e,Binance 22,eoa,Exchange
0x345d8e3a1f62ee6b1d483890976fd66168e390f2,Binance 23,eoa,Exchange
0xc3c8e0a39769e2308869f7461364ca48155d1d9e,Binance 24,eoa,Exchange
0x2e581a5ae722207aa59acd3939771e7c7052dd3d,Binance 25,eoa,Exchange
0x44592b81c05b4c35efb8424eb9d62538b949ebbf,Binance 26,eoa,Exchange
0xd5fd1bc99d5801278345e9d29be2225d06c26e93,Binance 27,eoa,Exchange
0xbb3fd383d1c5540e52ef0a7bcb9433375793aeaf,Binance 28,eoa,Exchange
0x06a0048079ec6571cd1b537418869cde6191d42d,Binance 29,eoa,Exchange
0x564286362092d8e7936f0549571a803b203aaced,Binance 3,eoa,Exchange
0x892e9e24aea3f27f4c6e9360e312cce93cc98ebe,Binance 30,eoa,Exchange
0x00799bbc833d5b168f0410312d2a8fd9e0e3079c,Binance 31,eoa,Exchange
0x141fef8cd8397a390afe94846c8bd6f4ab981c48,Binance 32,eoa,Exchange
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,Binance 4,eoa,Exchange
